N(%),C(%),H(%),O(%),H/C,O/C,(O+N)/C,Fe,Pyrolysis temperature,Ball milling(h),Particle size(nm),Pore volume(cm3/g),SSA(m2/g),Addition(mg),Adsorption temperature(¡æ),pH,C0(mg/L),Volume(mL),Adsorption time(min),C-C284.8,HO-C=O289,C-O285,Fe(¢ò),Fe(¢ó),Adsorption capacity(mg/g)
1.276,66.258,5.926,25.5805,1.073 ,0.515 ,0.537 ,0.00 ,300 ,0 ,2937 ,0.0085 ,3.07 ,30.0 ,25 ,3.76 ,9.660 ,20 ,1440 ,13.69 ,2.65 ,3.54 ,0 ,0 ,1.367 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,30.0 ,25 ,3.76 ,9.660 ,20 ,1440 ,12.24 ,1.37 ,8.74 ,0 ,0 ,1.427 
1.2595,76.631,3.446,11.249,0.540 ,0.196 ,0.215 ,0.00 ,500 ,0 ,10098 ,0.0099 ,5.2394 ,30.0 ,25 ,3.76 ,9.660 ,20 ,1440 ,16.53 ,0.49 ,5.97 ,0 ,0 ,0.436 
1.393 ,82.655 ,3.216 ,6.132 ,0.467 ,0.099 ,0.119 ,0.00 ,600 ,0 ,10283 ,0.0563 ,63.67 ,30.0 ,25 ,3.76 ,9.660 ,20 ,1440 ,17.47 ,3.18 ,4.15 ,0 ,0 ,0.173 
1.3735,82.51,1.665,7.6425,0.242 ,0.124 ,0.143 ,0.00 ,700 ,0 ,9228 ,0.0750 ,100.00 ,30.0 ,25 ,3.76 ,9.660 ,20 ,1440 ,14.76 ,2.75 ,7.25 ,0 ,0 ,0.158 
1.542 ,64.849 ,4.450 ,23.176 ,0.823 ,0.477 ,0.504 ,0.00 ,300 ,3 ,1527 ,0.0158 ,3.69 ,30.0 ,25 ,3.54 ,19.208 ,20 ,1440 ,10.32 ,0.80 ,8.33 ,0 ,0 ,7.719 
1.542 ,64.849 ,4.450 ,23.176 ,0.823 ,0.477 ,0.504 ,0.00 ,300 ,3 ,1527 ,0.0158 ,3.69 ,30.0 ,25 ,3.54 ,19.208 ,20 ,1440 ,10.32 ,0.80 ,8.33 ,0 ,0 ,8.103 
1.276 ,64.099 ,3.896 ,25.729 ,0.729 ,0.535 ,0.558 ,0.00 ,300 ,6 ,1442 ,0.0227 ,8.64 ,30.0 ,25 ,3.54 ,19.208 ,20 ,1440 ,12.24 ,2.46 ,4.53 ,0 ,0 ,8.080 
1.276 ,64.099 ,3.896 ,25.729 ,0.729 ,0.535 ,0.558 ,0.00 ,300 ,6 ,1442 ,0.0227 ,8.64 ,30.0 ,25 ,3.54 ,19.208 ,20 ,1440 ,12.24 ,2.46 ,4.53 ,0 ,0 ,8.081 
1.159 ,63.947 ,3.833 ,25.844 ,0.719 ,0.539 ,0.560 ,0.00 ,300 ,9 ,1144 ,0.0210 ,8.71 ,30.0 ,25 ,3.54 ,19.208 ,20 ,1440 ,9.63 ,0.86 ,8.70 ,0 ,0 ,8.530 
